OBJECTID,Bus Stop ID,Stop Number,LTAR,Location,Accessible,Bus PadID,FDMID,Feature Code,Source Date,Source Accuracy,Add Date,Modified Date,Bus Stop Status,Source Date,Plowed by HRM,Winter Maintenance Zone,Winter Maintenance Route,Winter Maintenance Level of Service,Winter Treatment Material,Winter Maintenance Comments,GLOBALID,Winter Maintenance Add Date,Winter Maintenance Modified Date,Date Last Inspected,x,y
1,BS3253,2158,Y,Williams Lake Rd Before Sagewood Ln (2158),N,CPD2778,700003553,TRBSAC,TRANSIT,DV,10/7/2019 12:00:00 AM,7/11/2023 2:30:44 PM,INS,8/23/2019 12:00:00 AM,Y,WSZ4,,PRI2,,STAND ALONE,e6174e30-6095-4bea-8ed0-ca63eba622f3,10/10/2019 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2019 12:00:00 AM,-7080819.9405,5561863.7598
2,BS895,8400,Y,Topsail Blvd After Plaza Dr (8400),A,CPD1135,200001050,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,Concrete pad btwn curb and sidewalk,1a258616-c5c6-49a0-bad9-397139fb4d5e,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7070349.7496,5571696.7116
3,BS1713,8078,Y,Princess Margaret Blvd Before Windmill Rd (8078),A,CPD1808,200000253,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,6/5/2025 11:14:37 AM,INS,,Y,HRM2,R2,PRI2,,,7bfa4296-3e23-4206-a808-2a3d9bbae3f4,2/22/2017 12:00:00 AM,1/23/2020 12:00:00 AM,,-7079891.8457,5572248.3081
5,BS1921,8435,Y,Water St Terminal (8435),A,CPD2132,700010432,TRBSTMAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,HRM1,R1,PRI2,,,b8c3f5d2-3359-4c83-a1e7-3d1b33519ddd,2/22/2017 12:00:00 AM,,,-7076901.7429,5566504.9057
6,BS3497,2277,Y,Hammonds Plains Rd After Duck Rd (2277),N,CPD3063,600000442,TRBSAC,TRANSIT,XY,6/21/2022 1:01:36 PM,2/16/2024 3:39:14 PM,INS,6/21/2022 12:00:00 AM,Y,WSZ3,,,SALT,No Sidewalk Present Or Landing Pad,cea3b161-78e6-4e39-9076-1630450b4fac,5/23/2022 12:00:00 AM,,,-7099770.5543,5579731.1867
7,BS389,7244,Y,Montague Rd After Lake Loon Cr (7244),A,CPD907,200001597,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ1,,PRI2,,,54c23d68-78e8-43bb-aed1-7ed3664037f3,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,,-7068199.5214,5574408.9766
8,BS2012,6077,Y,Auburn Dr Before Civic 187 (6077),A,CPD2090,200001930,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,1/18/2017 12:00:00 AM,Y,WSZ1,,PRI2,,STAND ALONE,4c8fd5cc-d51d-4c0d-b4de-238f035eeb4e,2/22/2017 12:00:00 AM,6/1/2022 12:00:00 AM,1/1/2019 12:00:00 AM,-7067097.2952,5573081.1794
9,BS365,7357,Y,North St Before Windsor St (7357),A,CPD18,300001252,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,SWZ6,RA,PRI2,,SHELTER,d82ee714-c4f2-423c-918d-548e90663231,2/22/2017 12:00:00 AM,10/25/2019 12:00:00 AM,1/1/2014 12:00:00 AM,-7079754.8629,5566916.6652
10,BS2601,6657,Y,Radcliffe Dr After Dunbrack St (6657),A,CPD2540,300003341,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 2:30:44 PM,INS,,Y,SWZ7,,PRI2,,,67793e55-f99e-4ea6-bbc1-e620b455de52,2/22/2017 12:00:00 AM,,1/1/2016 12:00:00 AM,-7086681.5207,5569056.1164
12,BS102,7289,Y,Nappan Dr Before Nictaux Dr (7289),N,CPD502,100002084,TRBSAC,TRANSIT,XY,7/29/2016 12:00:00 AM,7/11/2023 11:33:03 AM,INS,,Y,WSZ2,,PRI2,,STAND ALONE,339c3063-712f-46bd-8c0a-4bab03ec11b8,2/22/2017 12:00:00 AM,1/27/2020 12:00:00 AM,,-7088483.7421,5587699.9973
